File Name,Keywords
Probabilistic Risk Assessment Tool AMETA_processed_spellcheck.txt,"probabilistic fatigue, uncertain maintenance, aircraft fatigue, fatigue maintenance, maintenance decision, inspection fatigue, criteria fatigue, fatigue maintenances, risk maintenance, maintenance planning"
Wake Vortex Encounter Risk Assessment for Crosswind Departures_processed_spellcheck.txt,"wake turbulence, crosswind departures, aircraft wake, crosswind scenarios, departure crosswind, turbulence risk, wake aircraft, departures wake, vortex scenarios, wake vortex"
ADS-B_vulnerability_to_low_cost_jammers_Risk_assessment_and_possible_solutions_processed_spellcheck.txt,"jamming spoofing, jammer signal, jamming signals, ads jammer, ads receivers, ads receiver, jamming interference, jammers spoofers, jammer ads, receiver ads"
Ground_risk_assessment_for_long-range_inspection_missions_of_railways_by_UAVs_processed_spellcheck.txt,"uavs inspection, uavs risk, flight uav, railways uavs, uav investigated, railways uav, uav ground, uavs railways, uav impacting, vehicles uavs"
Controllability-involved_risk_assessment_model_for_carrier-landing_of_aircraft_processed_spellcheck.txt,"risks controllability, risk controllability, controllability risks, risk control, characterize risk, characterizing risk, risk assessment, safety risk, risk model, risk described"
Dynamic_Event_Trees_for_Aircraft_Collision_Risk_Assessment_processed_spellcheck.txt,"collisions aircraft, collision aircraft, aircraft collision, collisions risk, collision avoidance, airborne collision, collision risk, performance collision, collision probabilities, avoidance collision"
An_improved_method_for_risk_assessment_of_carrier-based_aircraft_processed_spellcheck.txt,"landing aircraft, aircraft safety, landing risk, aircraft risk, aircraft landing, safety aircraft, flight safety, decisions aircraft, manual landing, landing security"
A_Risk-based_Path_Planning_Strategy_to_Compute_Optimum_Risk_Path_for_Unmanned_Aircraft_Systems_over_Populated_Areas_processed_spellcheck.txt,"path planning, path unmanned, planning algorithm, aircraft path, risk paths, planning algorithms, risk path, path flight, routes uas, risk flight"
Study_on_Risk_Assessment_of_Flight_Test_of_Transport_Aircraft_Based_on_IAHP-SPA_Model_processed_spellcheck.txt,"flight test, aircraft test, flight tests, flight safety, risks flight, test aircraft, evaluate flight, risk aviation, test flight, failures flight"
Situational_risk_assessment_within_safety-driven_behavior_management_in_the_context_of_UAS_processed_spellcheck.txt,"situations safety, action safety, safety defined, safety definition, safety operational, risk knowledge, knowledge hazard, hazard recognition, management safety, safety functionalities"
Risk_Assessment_based_on_SORA_Methodology_for_a_UAS_Media_Production_Application_processed_spellcheck.txt,"drone operations, production drones, risks uas, uas risks, scenarios uas, making unmanned, uas unmanned, unmanned aircraft, use unmanned, drone operating"
